Performance Summary | MUTUAL FUNDS ASSOCIATION OF PAKISTAN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,amc_clean
Sector,Category,Fund Name,Rating,Benchmark,Validity Date,NAV,YTD,MTD,1 Day,15 Days,30 Days,90 Days,180 Days,270 Days,365 Days,2 Years,3 Years,
Open-End Funds,Shariah Compliant Money Market (Annualized Return),AWT Islamic Money Market Fund (Formerly: AWT Money Market Fund),AA+(f),,"Jan 15, 2026",124.4647,10.298,10.585,10.804,10.585,10.2772,10.2727,10.2711,10.5555,,,,AWT Mutual Fund
Open-End Funds,Shariah Compliant Money Market (Annualized Return),Faysal Halal Amdani Fund,AA(f),,"Jan 16, 2026",107.0425,9.0388,8.8306,8.687,8.8306,8.7503,8.8229,8.9526,9.2135,9.42,14.8034,18.7487,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Money Market (Annualized Return),Faysal Islamic Cash Fund,AA(f),,"Jan 16, 2026",105.1789,9.0098,8.9814,8.8695,8.9814,8.8768,8.818,8.9435,9.1729,9.5649,15.5267,19.4974,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Money Market (Annualized Return),HBL Islamic Money Market Fund,AA+(f),,"Jan 15, 2026",106.9479,9.7903,9.2606,8.7235,9.3464,9.4499,9.5715,9.781,10.402,10.4486,15.433,19.4053,
Open-End Funds,Shariah Compliant Money Market (Annualized Return),HBL Islamic Savings Plan I,,,"Jan 15, 2026",105.9044,9.6439,9.4024,10.1835,9.4024,9.7492,9.1806,9.3803,10.4051,10.0641,,,
Open-End Funds,Shariah Compliant Money Market (Annualized Return),JS Islamic Money Market Fund (Formerly: JS Islamic Daily Dividend Fund),AA(f),,"Jan 16, 2026",109.3498,9.95,9.2491,9.2345,9.2491,9.327,9.5472,9.9154,10.1578,10.5075,15.664,19.402,JS Mutual Fund
Open-End Funds,Shariah Compliant Money Market (Annualized Return),Lakson Islamic Money Market Fund,AA(f),,"Jan 16, 2026",106.6745,10.072,9.8428,9.709,9.8428,10.0059,10.1239,10.1109,10.4675,10.775,15.3443,19.1568,Lakson Mutual Fund
Open-End Funds,Shariah Compliant Money Market (Annualized Return),Lucky Islamic Money Market Fund,AA+(f),,"Jan 16, 2026",105.7039,10.1314,9.6336,9.8185,9.6336,9.8879,9.9836,10.0738,10.4241,,,,Lucky Mutual Fund
Open-End Funds,Shariah Compliant Money Market (Annualized Return),Mahaana Islamic Cash Fund,AA+(f),,"Jan 16, 2026",112.6011,10.0384,9.4803,10.95,9.4803,9.6981,9.8226,10.0257,10.285,10.3536,15.8362,,Mahaana Mutual Fund
Open-End Funds,Shariah Compliant Money Market (Annualized Return),Meezan Cash Fund,AA+(f),,"Jan 15, 2026",54.055,9.3706,9.1226,9.125,9.1226,9.2686,9.327,9.341,9.6284,9.8023,15.0155,18.6403,Meezan Mutual Fund
Open-End Funds,Shariah Compliant Money Market (Annualized Return),Meezan Rozana Amdani Fund,AA+(f),,"Jan 15, 2026",50,9.2327,8.9644,9.125,8.9644,8.9839,9.1287,9.1757,9.4708,9.6386,15.1291,18.8975,Meezan Mutual Fund
Open-End Funds,Shariah Compliant Money Market (Annualized Return),NBP Islamic Daily Dividend Fund,AA+(f),,"Jan 16, 2026",9.9989,10.3504,9.5557,(4.0150),9.5557,10.5071,10.3068,10.2032,10.4709,10.444,15.7935,19.485,NBP Mutual Fund
Open-End Funds,Shariah Compliant Money Market (Annualized Return),NBP Islamic Money Market Fund,AA(f),,"Jan 16, 2026",10.7194,9.8704,9.3197,3.066,9.3197,9.782,9.7755,9.8234,10.0563,10.3259,15.6456,19.2549,NBP Mutual Fund
Open-End Funds,Shariah Compliant Money Market (Annualized Return),NIT Islamic Money Market Fund,AAA(f),,"Jan 16, 2026",106.8187,10.0069,9.7236,9.4535,9.7236,9.8708,9.9158,9.9732,10.2702,10.6732,15.5338,19.2599,NIT Mutual Fund
Open-End Funds,Shariah Compliant Money Market (Annualized Return),Pak Oman Daily Dividend Fund,AA(f),,"Jan 16, 2026",10,5.776,3.9931,5.475,3.9931,4.717,5.3099,5.6362,5.8895,6.3334,10.9757,14.0335,Pak Oman Mutual Fund
Open-End Funds,Shariah Compliant Money Market (Annualized Return),Pak Qatar Asan Munafa Plan,AA(f),,"Jan 16, 2026",117.9195,9.9503,9.7592,9.3075,9.7674,9.9219,9.8696,9.9982,9.611,9.8121,14.6989,18.3782,
Open-End Funds,Shariah Compliant Money Market (Annualized Return),Pak Qatar Cash Plan,AA(f),,"Jan 16, 2026",119.3368,10.1749,10.0786,9.7455,9.9888,10.2188,10.1689,10.1519,10.5274,10.6742,15.9321,19.8048,
Open-End Funds,Shariah Compliant Money Market (Annualized Return),Pak Qatar Daily Dividend Plan,AA(f),,"Jan 16, 2026",100,10.1036,9.6657,9.563,9.6847,10.4183,10.3332,10.092,9.9722,10.2044,15.4824,19.399,
Open-End Funds,Shariah Compliant Money Market (Annualized Return),786 Islamic Money Market Fund,,,"Jan 15, 2026",105.5103,9.3352,8.9182,(352.5170),8.9182,8.8732,9.1749,9.2901,9.4229,8.8351,,,
Open-End Funds,Shariah Compliant Income (Annualized Return),ABL Islamic Income Fund,A+(f),,"Jan 15, 2026",10.8113,9.1666,12.6923,25.331,12.6923,12.9198,9.6668,9.1647,10.1081,9.4267,16.0112,18.0244,ABL Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),ABL Islamic Sovereign Plan I,AA+(f),,"Jan 15, 2026",10.5488,9.8051,12.2178,18.688,12.2178,10.8332,9.752,9.4539,10.4171,8.8769,,,ABL Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),AKD Islamic Income Fund,AA-(f),,"Jan 15, 2026",54.4437,10.1041,12.904,8.249,12.904,12.1107,9.9949,9.9771,11.5374,11.3055,16.2643,19.8437,AKD Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Al Ameen Islamic Income Fund,AA(f),,"Jan 15, 2026",104.9748,8.7031,11.7165,26.2435,11.7165,10.4865,9.3996,8.6779,9.9921,9.5697,15.9623,,
Open-End Funds,Shariah Compliant Income (Annualized Return),Al Ameen Islamic Sovereign Fund,AA(f),,"Jan 15, 2026",107.7301,10.4797,18.6442,19.6005,18.6442,17.6052,11.7092,10.3307,12.5556,10.2779,15.7336,18.7831,
Open-End Funds,Shariah Compliant Income (Annualized Return),AL Habib Islamic Income Fund,AA(f),,"Jan 15, 2026",107.596,10.3988,16.206,12.3005,16.206,14.7411,11.1848,10.4177,11.5597,10.3482,15.5999,19.3845,AL Habib Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),AL Habib Islamic Savings Fund,AA(f),,"Jan 16, 2026",106.0579,10.3444,14.8604,19.9655,14.8604,12.8967,10.8608,10.351,11.4886,10.4864,15.49,19.421,AL Habib Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Alfalah GHP Islamic Income Fund,AA-(f),,"Jan 15, 2026",108.7472,9.432,10.2005,6.1685,10.2005,9.5995,9.5074,9.2473,10.3771,9.1481,15.0345,18.6762,Alfalah GHP Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan I),AA+(f),,"Jan 15, 2026",100.949,10.3146,16.5491,34.7845,16.5491,15.5758,11.4874,10.4696,10.9422,9.0255,14.7252,,Alfalah Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan II),AA+(f),,"Jan 15, 2026",116.0822,10.1303,22.102,41.245,22.102,17.9592,11.6021,9.9195,11.995,8.8098,14.4356,,Alfalah Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Alfalah Islamic Sovereign Fund (Alfalah Islamic Sovereign Plan III),AA+(f),,"Jan 15, 2026",106.3472,11.3704,20.1626,35.186,20.1626,17.1295,12.3313,11.371,11.6165,8.7776,,,Alfalah Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Alhamra Daily Dividend Fund,AA-(f),,"Jan 16, 2026",100,9.2985,8.5069,8.76,8.5069,8.5617,8.9514,9.1966,9.8731,9.8743,15.0135,18.1864,Alhamra Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Alhamra Government Securities Plan I,AA(f),,"Jan 15, 2026",105.5484,9.7835,11.1885,11.023,11.1885,11.315,9.9994,9.2029,11.2,8.0588,,,Alhamra Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Alhamra Islamic Income Fund,AA(f),,"Jan 15, 2026",110.3259,10.6149,19.6905,31.682,19.6905,17.065,11.7384,10.6239,11.7753,10.9598,16.1524,19.417,Alhamra Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Atlas Islamic Income Fund,AA-(f),,"Jan 15, 2026",542.3708,9.8909,9.0423,0.2555,9.0423,9.5399,9.9491,9.8169,10.6913,10.5468,15.9277,19.2597,Atlas Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),AWT Islamic Income Fund,A+(f),,"Jan 15, 2026",111.438,10.1367,10.8575,8.979,10.8575,10.5181,10.0724,10.0359,10.6552,10.8494,16.6047,20.7618,AWT Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Faysal Halal Amdani Fund II,,,"Jan 15, 2026",101.5669,10.4225,9.8818,9.198,9.8818,9.7309,10.0205,10.5465,,,,,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Faysal Halal Amdani Fund III,,,"Jan 15, 2026",100.7061,9.5883,9.0252,8.3585,9.0252,9.2309,,,,,,,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Faysal Islamic Savings Growth Fund,A+(f),,"Jan 15, 2026",110.429,8.4304,11.5827,(3.3215),11.5827,10.5716,8.9238,8.1784,9.9172,9.2949,15.1491,17.608,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan I),AA(f),,"Jan 15, 2026",104.705,7.1368,13.7921,40.9165,13.7921,10.1373,6.3401,6.8898,10.7032,6.8314,13.4285,,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan II),AA(f),,"Jan 15, 2026",104.0082,6.5098,15.7656,(11.8625),15.7656,11.2055,6.1932,6.0799,10.0859,6.9276,13.8963,,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Faysal Islamic Special Income Plan I,AA(f),,"Jan 16, 2026",10.6511,10.0731,15.2643,7.1905,15.2643,14.5185,10.6925,9.9817,11.8186,10.0233,14.9947,21.8437,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),HBL Islamic Income Fund,A+(f),,"Jan 15, 2026",109.8558,10.216,13.9187,16.425,13.9187,12.4696,10.5169,10.2303,10.913,10.1391,14.9126,19.3684,
Open-End Funds,Shariah Compliant Income (Annualized Return),JS Islamic Income Fund,AA-(f),,"Jan 15, 2026",112.032,9.4513,8.1809,8.8695,8.1809,8.1541,8.2632,9.4288,9.5981,9.8699,14.2568,17.9732,JS Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Lucky Islamic Income Fund,AA(f),,"Jan 15, 2026",105.8618,10.5313,10.6653,12.848,10.6653,10.8539,10.4621,10.511,,,,,Lucky Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Meezan Daily Income Fund (MDIP I),AA-(f),,"Jan 15, 2026",50,9.2288,8.9011,3.942,8.9011,9.0678,9.1343,9.0469,9.6793,9.2742,14.9829,18.9067,Meezan Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Meezan Daily Income Fund (Meezan Mahana Munafa Plan),,,"Jan 15, 2026",50,9.2053,8.3147,8.176,8.3147,10.7225,9.4774,9.215,9.2021,9.1905,13.3682,16.7682,Meezan Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Meezan Daily Income Fund (Meezan Munafa Plan I),,,"Jan 15, 2026",53.0648,9.7826,9.4657,9.344,9.4657,9.5873,9.6461,9.7273,10.145,8.8139,14.5997,,Meezan Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Meezan Daily Income Fund (Meezan Sehl Account Plan) (MSHP),,,"Jan 16, 2026",52.7384,8.2017,7.6966,7.7015,7.6966,7.7988,7.9538,8.1494,8.0366,7.865,12.6737,,Meezan Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Meezan Daily Income Fund (Meezan Super Saver Plan) (MSSP),,,"Jan 15, 2026",52.8802,9.154,8.8671,8.2125,8.8671,9.5119,9.1753,8.9316,9.8591,8.4454,,,Meezan Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Meezan Islamic Income Fund,A+(f),,"Jan 15, 2026",54.3124,8.9759,8.9133,8.8695,8.9133,8.9389,8.938,8.8807,8.7597,8.141,14.3034,17.7171,Meezan Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Meezan Sovereign Fund,AA(f),,"Jan 15, 2026",54.7233,8.5936,9.4778,7.738,9.4778,10.9683,9.2126,8.5499,8.6114,6.73,13.5668,17.9991,Meezan Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),NBP Islamic Government Securities Plan III,,,"Jan 15, 2026",10.5189,15.8499,10.1056,(33.9815),10.1056,10.8174,8.8805,8.5002,10.0816,8.5039,,,NBP Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),NBP Islamic Income Fund,A+(f),,"Jan 15, 2026",10.6123,8.6417,8.2368,(12.7385),8.2368,8.8111,8.8484,8.5736,9.3735,9.0177,14.5719,18.2355,NBP Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),NBP Islamic Mahana Amdani Fund,A+(f),,"Jan 15, 2026",10.6347,9.3134,9.142,(0.6935),9.142,9.7443,9.4515,9.1489,9.6568,9.5915,14.9255,18.519,NBP Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),NBP Islamic Savings Fund,AA-(f),,"Jan 16, 2026",10.0834,9.2459,8.7916,8.687,8.7916,8.9827,9.0333,9.1753,9.5744,9.8588,15.3546,18.0661,NBP Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),NBP Riba Free Savings Fund,A+(f),,"Jan 15, 2026",10.8964,9.7222,9.2807,9.3805,9.2807,9.3951,9.5622,9.7279,9.8649,10.1603,15.1748,18.3401,NBP Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),NIT Islamic Income Fund,AA-(f),,"Jan 15, 2026",10.2008,9.89,10.9743,13.943,10.9743,10.9026,10.0594,9.838,10.3254,10.483,15.4068,19.3468,NIT Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Pak Oman Advantage Islamic Income Fund,A+(f),,"Jan 15, 2026",55.2445,5.9326,5.9738,(2.2630),5.9738,6.2403,5.8132,5.5906,6.7365,6.2567,12.2597,17.5291,Pak Oman Mutual Fund
Open-End Funds,Shariah Compliant Income (Annualized Return),Pak Qatar Income Plan,AA-(f),,"Jan 15, 2026",123.1377,10.1982,8.3561,(49.6035),8.3561,10.5668,10.9192,10.0032,11.5709,11.2686,17.2363,21.2117,
Open-End Funds,Shariah Compliant Income (Annualized Return),Pak Qatar Khalis Bachat Plan,A(f),,"Jan 15, 2026",120.2689,9.3046,8.4388,(36.4270),8.4388,10.046,9.3902,9.2828,9.3679,9.2249,15.2612,19.2445,
Open-End Funds,Shariah Compliant Income (Annualized Return),Pak Qatar Monthly Income Plan,A+(f),,"Jan 15, 2026",100.5205,9.5769,4.5966,(97.5645),4.5966,8.0738,10.7042,9.5932,10.1133,10.1079,16.4447,20.3142,
Open-End Funds,Shariah Compliant Income (Annualized Return),786 Smart Fund,AA-(f),,"Jan 15, 2026",88.2978,9.236,8.2368,(3.0295),8.2368,8.8002,9.8477,9.2298,9.3102,9.9162,16.0647,20.0101,
Open-End Funds,Shariah Compliant Equity (Absolute Return),ABL Islamic Stock Fund,,,"Jan 15, 2026",34.806,30.0401,2.1804,(0.5659),2.1804,3.3497,5.6876,25.9718,32.4283,35.0423,128.7749,266.2466,ABL Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),AKD Islamic Stock Fund,,,"Jan 15, 2026",115.238,29.1165,3.9222,(0.4208),3.9222,6.3788,6.3693,24.3644,39.0922,40.7078,123.447,271.7444,AKD Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),Al Ameen Islamic Energy Fund,,,"Jan 15, 2026",359.444,32.9476,3.5468,0.3789,3.5468,5.4729,9.6281,31.9364,36.9852,32.8737,142.3438,315.9351,
Open-End Funds,Shariah Compliant Equity (Absolute Return),Al Ameen Shariah Stock Fund,,,"Jan 15, 2026",527.41,34.8288,2.6749,(0.4549),2.6749,3.1912,8.1423,29.3623,45.1988,51.5523,159.3217,321.3709,
Open-End Funds,Shariah Compliant Equity (Absolute Return),AL Habib Islamic Stock Fund,,,"Jan 15, 2026",190.6091,30.4399,3.3119,(0.1227),3.3119,3.9719,5.4707,25.4343,34.5529,42.7234,194.4694,373.9003,AL Habib Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),Al Meezan Mutual Fund,,,"Jan 14, 2026",52.4215,31.4422,1.9858,(2.5213),1.1945,1.706,4.9372,27.2663,38.2399,45.7482,139.6374,281.5727,Al Meezan Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),Alfalah GHP Islamic Stock Fund,,,"Jan 15, 2026",76.2236,31.3163,2.1687,(0.3987),2.1687,3.326,6.5371,28.9096,34.3029,36.9189,133.7381,298.8044,Alfalah GHP Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),Alhamra Islamic Stock Fund,,,"Jan 15, 2026",31.58,31.4738,3.5749,(0.1896),3.5749,4.5695,7.9658,26.1182,43.6176,49.9606,156.3248,331.3391,Alhamra Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),Alhamra Opportunity Fund (Dividend Strategy Plan),,,"Jan 15, 2026",220.6397,40.3738,4.4179,(0.3376),4.4179,6.4659,15.5789,34.2309,54.3363,57.2335,,,Alhamra Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),Atlas Islamic Stock Fund,,,"Jan 15, 2026","1,692.7120",33.2414,2.8954,(0.6216),2.8954,3.8009,6.5857,29.0597,39.5319,44.5244,149.8892,307.5787,Atlas Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),AWT Islamic Stock Fund,,,"Jan 15, 2026",200.4163,33.3427,2.8657,(0.3069),2.8657,4.2459,8.3802,29.2444,39.1043,43.5812,139.6232,271.1136,AWT Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),Faysal Islamic Stock Fund,,,"Jan 15, 2026",128.9937,34.6246,2.5838,(0.5009),2.5838,3.449,8.2199,29.8982,34.7666,41.0631,134.4581,221.1838,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),Faysal Islamic Stock Fund II,,,"Jan 15, 2026",136.4924,35.1074,4.0486,(0.2687),4.0486,5.7353,9.1362,28.4035,42.9705,,,,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),HBL Islamic Equity Fund,,,"Jan 15, 2026",213.9038,34.6266,2.3249,(0.1200),2.3249,3.2397,8.9912,32.1014,34.2843,31.2793,132.3654,233.4383,
Open-End Funds,Shariah Compliant Equity (Absolute Return),HBL Islamic Stock Fund,,,"Jan 15, 2026",269.5499,29.8454,1.3304,(0.0117),1.3304,1.6846,9.3167,28.4269,32.0966,34.9368,126.9116,250.5775,
Open-End Funds,Shariah Compliant Equity (Absolute Return),JS Islamic Fund,,,"Jan 15, 2026",288.23,32.416,2.5985,(0.1213),2.5985,4.4842,6.2756,30.3324,35.3004,39.1764,134.6867,255.0226,JS Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),Lucky Islamic Energy Fund,,,"Jan 15, 2026",100.5579,0.5579,0.5579,0.3158,0.5579,,,,,,,,Lucky Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),Lucky Islamic Stock Fund,,,"Jan 15, 2026",142.65,32.8707,2.2507,(0.4744),2.2507,3.2648,7.4495,29.2471,,,,,Lucky Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),Meezan Energy Fund,,,"Jan 15, 2026",64.8085,30.957,2.5703,(0.0088),2.5703,3.8074,5.4742,29.5212,28.5025,28.259,114.6299,265.1591,Meezan Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),Meezan Islamic Fund,,,"Jan 15, 2026",172.0442,33.3616,2.3079,(0.3490),2.3079,3.0622,6.281,29.0677,39.415,45.1461,138.8999,275.6092,Meezan Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),NBP Islamic Energy Fund,,,"Jan 15, 2026",23.5101,32.2709,4.2392,0.5436,4.2392,6.5459,11.2383,32.2375,33.092,29.9932,134.2958,303.0373,NBP Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),NBP Islamic Stock Fund,,,"Jan 15, 2026",26.8581,40.323,3.5006,0.0093,3.5006,4.6247,13.3789,34.1423,46.4485,49.4105,161.277,312.5287,NBP Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),NIT Islamic Equity Fund,,,"Jan 15, 2026",20.38,29.6438,2.1042,(0.4883),2.1042,3.6623,6.1458,25.4154,33.962,33.3726,118.294,240.0402,NIT Mutual Fund
Open-End Funds,Shariah Compliant Equity (Absolute Return),Pak Qatar Islamic Stock Fund,,,"Jan 15, 2026",279.1744,26.7049,1.837,(0.3748),1.837,2.8766,6.5747,24.0674,34.2289,31.1953,85.821,186.3386,
Open-End Funds,Shariah Compliant Capital Protected (Absolute Return),JS Islamic Sarmaya Mehfooz Fund (JS Islamic Sarmaya Mehfooz Plan 1),,,"Jan 15, 2026",104.427,11.6847,2.4161,0.2105,2.4161,4.0291,5.7405,,,,,,JS Mutual Fund
Open-End Funds,Shariah Compliant Capital Protected (Absolute Return),JS Islamic Sarmaya Mehfooz Fund Plan 2 2020,,,"Jan 15, 2026",99.9496,(0.0504),0.3316,(0.1174),0.3316,0.2143,,,,,,,JS Mutual Fund
Open-End Funds,Shariah Compliant Capital Protected (Absolute Return),NBP Islamic Principal Protection Fund I (NBP Islamic Principal Protection Plan I),,,"Jan 15, 2026",10.4155,4.4852,1.1057,(0.0537),1.1057,1.5859,4.6721,,,,,,NBP Mutual Fund
Open-End Funds,Shariah Compliant Capital Protected (Absolute Return),NBP Islamic Principal Protection Fund II (NBP Islamic Principal Protection Fund I),,,"Jan 15, 2026",10.1471,1.471,0.9601,(0.0325),0.9601,,,,,,,,NBP Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),ABL Islamic Fixed Term Plan IV,,,"Jan 15, 2026",10.0684,10.4025,10.3149,10.147,10.3149,,,,,,,,ABL Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Al Ameen Islamic Fixed Term Plan I (M),,,"Jan 15, 2026",100.1989,8.5039,4.8399,5.621,4.8399,4.3472,7.3162,8.2368,8.6351,9.2159,,,
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),AL Habib Islamic Munafa Fund Plan V,,,"Jan 15, 2026",100,10.3354,9.8185,,9.8185,10.2431,,,,,,,AL Habib Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Alfalah Islamic Stable Return Fund Plan  X,,,"Jan 15, 2026",101.0146,10.5808,10.5558,10.512,10.5558,10.6057,,,,,,,Alfalah Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Alfalah Islamic Stable Return Fund Plan IX,,,"Jan 13, 2026",100.9651,10.3606,9.7174,(0.1095),9.8428,10.422,,,,,,,Alfalah Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Alfalah Islamic Stable Return Fund Plan VI,,,"Jan 09, 2026",102.8962,10.4665,8.8857,(1.3505),9.4924,9.6847,10.3555,,,,,,Alfalah Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Alfalah Islamic Stable Return Fund Plan VII,,,"Jan 16, 2026",102.8732,10.3833,9.5653,1.0585,9.507,10.0351,10.4751,,,,,,Alfalah Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Alfalah Islamic Stable Return Fund Plan VIII,,,"Jan 15, 2026",102.8906,10.5507,10.5655,10.512,10.5655,10.8527,10.684,,,,,,Alfalah Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Alhamra Wada Fund (Alhamra Wada Plan XIV),,,"Jan 15, 2026",102.444,10.6198,11.9404,10.3295,11.9404,10.7517,,,,,,,Alhamra Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan I),,,"Jan 15, 2026",122.4169,10.0439,12.2932,13.651,12.2932,11.6301,10.542,9.4671,11.6839,10.6142,,,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan VI),,,"Jan 15, 2026",106.2279,11.1881,10.4828,10.439,10.4828,10.6787,10.9163,11.1477,,,,,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan XII),,,"Jan 15, 2026",100,10.5006,9.8453,9.4535,9.8453,10.192,10.5006,,,,,,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan XIII),,,"Jan 15, 2026",101.4318,10.4521,10.2516,10.22,10.2516,10.3611,,,,,,,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan XIV),,,"Jan 15, 2026",101.4819,10.8179,10.5801,10.5485,10.5801,10.7213,,,,,,,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan XV),,,"Jan 15, 2026",100.9909,10.3337,10.0399,9.9645,10.0399,10.2894,,,,,,,Faysal Mutual Fund
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),HBL Islamic Fixed Term Fund Plan II,,,"Dec 12, 2025",100,,,,,,,,,,,,
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),HBL Islamic Fixed Term Fund Plan V,,,"Nov 20, 2025",100.6076,10.5607,10.262,10.293,10.3587,,,,,,,,
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),HBL Islamic Fixed Term Fund Plan VI,,,"Nov 12, 2025",100,,,,,,,,,,,,
Open-End Funds,Shariah Compliant Fixed Rate / Return (Annualized Return),Lucky Islamic Fixed Term Fund Plan IX,,,"Jan 15, 2026",100.057,0.9457,(3.4626),10.4025,(3.4626),,,,,,,,Lucky Mutual Fund
